,title,desc,title_label,desc_label
11,인텔 투자 공습부담 커지는 삼성전자 ,미국 인텔에 이어 대만 등 글로벌 반도체 기업들이 잇달아 투자에 나서면서 삼성전자 에 부담도 커지고 있다 반도체 시장에서의 우위를 선점하기 위해서는 적극적인 투자와 시기기 중요해서다 올해 분기 ,0,1
12,인텔 대규모 투자 본격화 삼성 반격카드에 이목 집중, 삼성전자 반도체 생산라인에서 한 엔지니어가 설계 모니터를 살펴보고 있다 사진 삼성전자 글로벌 반도체 패권경쟁이 본격화되면서 미국 인텔과 대만 가 공격적 투자를 단행해 반도체 시장이 술렁이고 있다 ,0,0
13,상속세 납부로 고개 드는 이재용 사면론 경계하는 정치권,최근 경제계와 이들의 주장에 힘을 싣는 복수의 언론을 중심으로 이재용 삼성전자 부회장 사면론이 고개를 들고 있다 이에 합심한 이원욱양향자 등 일부 여당 의원도 목소리를 보탰다 삼성 일가의 고 이건희 전 회장 ,0,1
14,홍남기 반도체 시설투자 세액공제 확대 검토 ,한편 회의에는 최창식 하이텍 부회장 허염 실리콘마이터스 대표 김형준 차세대 지능형반도체 사업단장 나준호 실리콘웍스 전무 이장규 텔레칩스 대표 박용근 하이닉스 부사장 심상필 삼성전자 ,0,0
15,이건희 컬렉션연고성 무기로 유치전 치고 나가는 수원시,김 의원은 최근 미술관 건축을 추진하는 황희 문화체육관광부 장관을 만나 수원이 최적지임을 강조하기도 했다 김 의원은 이건희 미술관은고인이 잠들어 계시고 또 수십년간 삼성전자 와 함께 발전해온 나아가 ,0,0
16,김부겸 부동산 정책 일관성 필요 이재용 부회장 사면은 대통령 권한,이재용 삼성전자 부회장 사면에 대해선 경제계의 의견을 듣고 대통령에게 전달하겠다고 밝혔다 일 오전 국회에서 열린 인사청문회에서 김 후보자는 부동산 정책과 이 부회장 사면론 등에 대한 입장을 내놨다 이은주 ,0,0
17,인사청문회 김부겸 이재용 사면 대통령에 전달한다 ,김부겸 국무총리 후보자는 일 재계와 정치권을 중심으로 제기되는 이재용 삼성전자 부회장의 사면 요구에 대해 국회 동의를 받아 취임하면 경제계를 만나 그분들이 갖고 있는 상황 인식을 잘 정리해 문재인 대통령에게 ,0,1
18,국제 삼성전자 폴란드 이통사와 시범 운영 유럽 입지 확장 , 삼성전자 가 폴란드 이동통신사 플레이와 세대 이동통신 솔루션을 테스트한다 폴란드를 비롯한 유럽에서 망에 화웨이 배제를 공표한 가운데 삼성전자 네트워크 장비 추가 수주 가능성이 높아졌다는 ,1,0
19,이재용 삼성 생명 최대주주 적격성 심사받는다,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주로서 금융당국의 적격성 심사를 주기적으로 받게 됐다 일 금융당국에 따르면 금융감독원은 현재 이 부회장에 대한 삼성 생명 최대주주 적격성 심사를 ,0,0
20, 프로젝트 지배구조 개선 아이디어 이재용 재판 증언,이재용 삼성전자 부회장의 승계를 목적으로 작성된 게 아니라는 취지의 증언이다 서울중앙지법 형사합의 부부장판사 박정제 박사랑 권성수는 일 자본시장법과 금융투자업에 관한 법률 위반 등 혐의로 기소된 이 ,0,0
21, 삼성 오너들의 상속구도는 삼성전자 지배력 유지에 최선책,고 이건희 회장의 보유 지분 정리 투자증권은 일 이재용 삼성전자 부회장 등 삼성 오너들이 최근 이건희 전 삼성 그룹 회장의 지분을 상속한 방법이 삼성전자 지배력 유지에 가장 적합한 것으로 분석했다 김장원 ,0,0
22,김부겸 청문회 청년부동산 정책 약속의혹에는 사과,다만 그는 이은주 정의당 의원이 고 이건희 삼성전자 회장에 이은 세습 사면이라는 지적에 당연히 공정하다고 보지 않는다 고 강조했다 김 후보자는 이명박박근혜 전 대통령 특별사면 요구와 관련 문재인 대통령이 ,0,0
23,상장협 정세균 전 국무총리 만나 정책간담회 진행,이날 간담회에서는 이재용 삼성전자 부회장의 사면을 적극 검토해달라는 요청도 나왔다 정구용 회장은 반도체는 코로나 경제위기 극복의 원동력은 물론 최근 심화되고 있는 국가간 기술패권 전쟁의 핵심 자원 이라며 ,0,1
24, 메모리가 한몸반격 나선 삼성전자 ,반도체 패권을 둘러싼 글로벌 기업들의 힘 겨루기가 숨 가쁘게 이어지는 가운데 시계 제로에 직면한 삼성전자 가 파운드리반도체 위탁생산 시장의 반전에 나선다 중앙처리장치 그래픽처리장치 등의 ,0,1
25,안규백이원욱양향자 의원 이어 김부겸까지 여권서 이재용 사면론 확산,글로벌 반도체 패권 경쟁이 치열해지고 있는 가운데 여권 내에서도 이재용 삼성전자 부회장의 사면론이 확산되는 분위기다 안규백이원욱양향자 의원에 이어 김부겸 총리 후보자까지 가세한 것 현재 글로벌 반도체 ,0,1
26, 삼성 세대까지 나오는데 더딘 폴더플 시장 성장세 애플 참전하면 시장 ,폴더블폰 시대를 연 삼성전자 가 신제품 갤럭시 폴드 와 갤럭시 플립 출시를 앞둔 가운데 중국 업체들도 비슷한 제품을 선보이며 경쟁에 가세하고 있다 폴더블 스마트폰이 고급 모델의 차세대 판매 포인트로 ,1,1
27,상장협 정세균 전 국무총리 초청 정책 간담회 개최,이어 특히 반도체는 코로나 경제위기 극복의 원동력이며 국가 간 기술패권전쟁의 핵심 자원이라며 국민의 이상이 찬성하는 만큼 국가 경제 발전 측면에서 이재용 삼성전자 부회장의 사면도 적극 검토해달라 ,1,1
28,이재용 삼성 생명 최대주주 적격성심사 어떤 경우도 지배구조 이상 ,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주 자격으로 매 년마다 정기적으로 금융당국의 적격성 심사를 받게 됐다 금융회사지배구조법에 따라 금융당국은 최대주주 중 최다 출자자 인을 대주주 ,0,1
29,이재용 년 주기 삼성 생명 최대주주 적격성 심사 받는다,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주로서 금융당국의 적격성 심사를 주기적으로 받게 됐다 일 금융당국에 따르면 금융감독원은 현재 이 부회장에 대한 삼성 생명 최대주주 적격성 심사를 ,0,0
30,김윤덕 의원 전직 대통령 사면 시기상조,이재용 삼성전자 부회장의 사면논의와 관련해서도 과거부터 우리 경제계는 지은 죄에 비해 가벼운 형사처벌로 끝났고 그 처벌마저도 제대로 이루어지지 않았다 며 이러한 관행이 계속해서 이어지고 있다 고 지적했다 ,0,0
31, 삼성전자 속도 높이고 면적 줄인 차세대 반도체 패키지 기술 개발,퍼블릭뉴스 백성요 기자 삼성전자 가 전송 속도는 높이고 패키지 면적은 줄인 반도체 패키지 기술 를 개발했다 삼성전자 는 로직 칩과 개의 칩을 하나의 ,0,0
32, 로펌 삼성전자 하이닉스 등 램 담합 또 소송 제기,서울 서초구 삼성 딜라이트샵에 전시되어 있는 램 낸드 플래시 모바일 조명 사진뉴시스 한국의 삼성전자 와 하이닉스 미국의 마이크론 등 램 제조업체들이 미국 현지에서 램가격 담합 ,0,1
33,특징주칩스앤미디어 주가 급등 삼성전자 파운드리 공정 검증,칩스앤미디어 주가 급등 삼성전자 파운드리 공정 검증 칩스앤미디어 주가가 가파른 상승세다 일 오후 시 분 기준 칩스앤미디어는 전일대비 오른 만 원에 거래 중이다 이날사이파이브는 삼성 ,0,0
34, 삼성전자 차세대 반도체 패키지 기술 개발, 삼성전자 가 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다 는 고대역폭 데이터 전송과 고성능 시스템 반도체를 ,0,0
35,특징주텔레칩스 주가 삼성전자 완성차 업계 지원에 강세,텔레칩스 주가 삼성전자 완성차 업계 지원에 강세 텔레칩스 주가가 가파른 상승세다 일 오후 시 분 기준 텔레칩스는 전일대비 오른 만 원에 사고팔리고 있다 국내 반도체 설계전문업체팹리스 ,0,0
36, 삼성 증권 직원 이재용 재판서 증언 총수 지배력 약화 가능성 검토 ,이투데이나경연 기자 연합뉴스 삼성 물산 불법 합병 의혹 등으로 재판에 넘겨진 이재용 삼성전자 부회장의 공판에서 전 삼성 증권 직원에 대한 첫 증인 신문이 진행됐다 서울중앙지법 형사합의 부재판장 박정제 ,0,0
37,유족 기증 취지 중요한데지자체 이건희 미술관 유치 경쟁 가열,김승원 더불어민주당 의원수원갑도 삼성전자 본사와 이건희 회장 묘소가 있는 수원시에 이건희 미술관 유치에 나서 달라고 요청했다 지자체들보다 앞서 미술계 인사 여명은 지난달 일 이건희 회장 기증품을 ,0,1
38,패키지 기술이 반도체 경쟁력 삼성전자 아이큐브 개발, 삼성전자 가 중앙처리장치 와 메모리반도체를 묶어 하나의 반도체처럼 작동하게 하는 반도체 패키지 신기술을 공개했다 반도체 패키지 기술은 파운드리 분야에서 미래 경쟁력을 좌우할 정도로 중요성이 높아지고 ,0,0
39,애플도 폴더블폰 출시차기 갤럭시 경쟁력에 쏠리는 관심,듀얼 카메라가 장착 된 갤럭시 플립 예상 이미지 렛츠고디지털 삼성전자 는 올해 폴더블폰 대중화를 목표로 오는 월 신제품인 가칭 갤럭시 폴드 갤럭시 플립 출시를 앞두고 있다 이런 가운데 최대 경쟁사인 ,1,0
40,오늘의 정치뉴스 월 일목 석간 리뷰,김부겸 국무총리 후보자 인사청문회 오전 질의는 코로나 확산에 따른 정부의 백신 접종 계획 부동산 시장 안정화 방안 전직 두 대통령 및 이재용 삼성전자 부회장 사면 등에 대한 내용이 주를 이뤘습니다 이에 대해 ,0,0
41,동탄 최초 아트 스트리트 몰 등장에 투자 몰린다동탄테크노밸리 ,동탄테크노밸리 내 상주 근로인구 외에도 삼성전자 두산중공업 한국 등 대기업 업무단지 등 총 약 만여 명의 배후수요가 점쳐지고 있다 한편 현대 실리콘앨리 아트 동탄의 모델하우스는 한미약품 뒤편인 ,0,1
42,산업 이모저모 삼성 차세대 반도체 패키지 기술 개발전송 속도 , 삼성전자 가 복수의 칩을 개의 패키지 안에 배치해 전송 속도는 높이고 패키지 면적은 줄이는차세대 반도체 패키지 기술을 개발했습니다 향후 빅데이터클라우드 등 혁신 서비스에 폭넓게 활용될 것으로 ,0,0
43, 삼성전자 차세대 반도체 패키지 기술 개발, 삼성전자가 선보인 차세대 반도체 패키지 기술 삼성전자 삼성전자 는 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 일 밝혔다 ,0,0
44, 토마토상폐 심의 앞둔 코아시아옵틱스 스톡옵션 부여 인력유출 방지 ,한편 코아시아옵틱스는 이번 주총에서 임내성 전 삼성전자 해외주재파견 최고재무책임자 를 신임 감사로 선임하기로 했다 새롭게 선임되는 임 감사는 삼성전자 해외주재파견 와 스테코 엑시콘 경영지원팀장 ,0,1
45, 삼성 버즈 프로 사용 후 외이도염 증상 호소하는 소비자 급증, 삼성 갤럭시 버즈 프로 사진 삼성전자 삼성 버즈 프로 사용 후 외이도염 증상을 호소하고 있는 소비자들이 늘어나고 있다 버즈 프로를 구매한 누리꾼들은 해당 제품 사용 후 귀에서 진물이 나오고 붓는 증상이 ,0,0
46,종목속으로 공매도 표적 된 디스플레이 실적으로 방어할까,대차거래 금액 기준으로 보면 삼성전자 조 억원 하이닉스 조 억원 셀트리온 조 억원 디스플레이 조 억원 순이다 대차거래는 차입자가 기관 등에 일정한 수수료와 담보물을 지불하고 주식을 ,0,1
47, 삼성 보급형 폰 갤럭시 인증기관서 포착,트위터 캡처 삼성전자 의 가장 저렴한 스마트폰 갤럭시 가 인증기관 데이터베이스에서 발견됐다 데이터베이스에서 발견된 갤럭시 모델 번호는 등 종이다 모델 ,0,1
48,법정서 공개된 프로젝트 문건 승계 목적은 아냐,이재용 삼성전자 부회장의 승계목적을 위해 만들어진 것으로 알려진 프로젝트 문건이 법정에서 공개됐다 이날 재판에서는 승계를 위한 그룹차원의 합병이라는 점을 강조하려는 검찰과 지배구조에 관한 전체적 ,0,0
49,김부겸 이재용 사면 재계 의견 대통령께 전할 것 ,사진뉴시스 김부겸 국무총리 후보자가 재계를 중심으로 제기되는 이재용 삼성전자 부회장 사면 요구와 관련 국회의 동의를 받아서 총리로 취임하면 경제계를 만나 그분들이 갖고 있는 상황 인식 등을 잘 정리해서 ,0,1
50, 프로젝트 는 삼성 지배구조 개선 아이디어 보고서 ,부당합병 의혹 이재용 일 두번째 정식재판 전 삼성 증권 팀장 증언대 현안 대응 문건 조현미 기자 이재용 삼성전자 부회장이 지난해 월 일 서울 서초구 서초동 서울고등법원에서 열리는 국정농단 ,0,0
51, 공모주 진시스템삼영 상장 후 성장 계획은, 삼성전자 전자 포드자동차 등이 주요 고객사다 삼영 는 스마트 센싱 솔루션 을 넘어 기반 지능형 인델리전트 센싱 솔루션 공급업체로서 환경센서 분야의 ,1,0
52,미 환경보호청 냉장고에어컨 냉매 단계적 사용금지 발표,이는 백색가전 수출에서 세계적 경쟁력을 갖고 있는 삼성전자 와 전자 에 직접적 영향을 주는 결정으로 우리 기업의 철저한 대비를 의미한다 삼성전자 와 전자 의 백색가전 생산 규모는 세계에서 최상위권이다 ,0,1
53,코지마 차세대 플래그십 안마의자 레전드 시그니처 출시, 인치 삼성전자 갤럭시 태블릿도 기본으로 제공된다 기기를 활용해 안마의자를 제어할 뿐만 아니라 마사지를 받으면서 각종 모바일 콘텐츠를 동시에 즐길 수 있다 또 하단 마사지부와 다리부에 끼임 사고를 방지하기 ,1,1
54, 삼성전자 반도체 매출 위 재탈환 가능성 투자 압박 부담, 삼성전자 반도체 매출 위 재탈환 가능성 투자 압박 부담 삼성전자 반도체 부문 올해 분기 실적이 기대되고 있다 분기 만에 반도체 매출 세계 위 자리를 다시 탈환할 것으로 예상되기 때문이다 지난 일 ,1,1
55,김부겸 이재용 사면 다양한 의견 듣고 대통령께 전달할 것 ,김부경 국무총리 후보자는 일 이재용 삼성전자 부회장의 사면에 대해 다양한 의견을 듣고 대통령에게 전달할 것 이라고 말했다 김 후보자는 국회에서 열린 인사청문회에서 일반론으로 말하자면 사면은 국가 최고 ,0,1
56, 삼성전자 차세대 반도체 패키지 기술 개발, 삼성전자 는 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 일 밝혔다 해당 기술은 실리콘 인터포저 위에 등의 ,0,0
57,중국 사업에 화웨이 배제한 인도에 유감,인도 통신부는 최근 자국 통신회사의 시범사업을 승인했는데 통신장비 제조사 명단에 삼성전자 에릭슨 노키아 등은 포함됐지만 중국 업체는 빠졌습니다 더힌두 등 인도 언론은 이번 조치로 화웨이나 등 같은 중국 ,0,0
58,이재용 공판서 전 직원 프로젝트 지배구조 개선 아이디어 정리 ,이재용 삼성전자 부회장의 부당합병회계부정 혐의 재판에 증인으로 출석한 전 삼성 증권 직원이 소위 경영권 승계계획안이 담겼다는 프로젝트 에 대해 지배구조 개선 아이디어를 정리한 보고서 라고 진술했다 ,0,1
59, 삼성 합병 의혹 이재용 차 공판프로젝트 지배구조개선 아이디어,검찰이 이재용 삼성전자 부회장 승계 계획안으로 보는 프로젝트 보고서가 삼성 지배구조 개편 아이디어를 모아 놓은 차원이라는 증언이 나왔다 서울중앙지법 형사합의 부는 일 자본시장법과 금융투자업에 관한 ,0,0
60, 이건희 미술관 세종시에 짓자 결정만 나면 바로 착공 가능 ,세종시 박물관단지 위치도지도행복청 부산시는 부산 북항에 이건희 미술관을 짓자고 제안했고 경기 수원시는 삼성전자 및 이건희 회장 묘소가 있는 점을 강조하고 있다 경남 창원시는 고 이병철 삼성 회장이 첫 사업을 ,0,0
61, 전자 랜드 온오프라인 동시 가정의 달 경품 이벤트,행사 기간 전자 랜드는 공식 온라인 쇼핑몰 프로모션 페이지 내의 우리집 행운 찾기 이벤트에 참여한 고객 중 추첨을 통해 전자 의류관리기 명다이슨 청소기 명 삼성전자 큐브냉장고 명갤럭시 탭 명 ,0,0
62,오후시황 오후에도 코스피는 상승 폭 유지,반면 삼성전자 와 하이닉스 카카오 현대차 삼성 셀트리온 등이 내리고 있다 같은 시간 코스닥은 전일보다 포인트 하락한 포인트를 ,0,0
63,영화부터 화상회의까지자동차 운전석의 진화,엔터테인먼트와 생산성 두 마리 토끼를 잡는다 현대모비스와 함께 글로벌 기업을 선도하는 삼성전자 도 디지털 콕핏 구현에 주력하고 있다 현대모비스는 신개념 자동차탑승객 연결 경험을 삼성전자 는 하만과 ,1,1
64, 기술 밀리면 끝 삼성전자 이어 차세대 반도체 패키지 기술 개발, 삼성전자 가 대만의 에 이어 차세대 반도체 패키지 기술 개발에 성공했다 컴퓨터 중앙처리장치 와 같은 로직 칩에 고대역폭 메모리 개를 하나로 묶어 성능을 높인 기술로 전송 속도는 높이면서도 ,0,0
65,이건희 미술관 수원시가 품을까,이투데이박은평 기자 사진제공 삼성전자 고 이건희 삼성전자 회장이 기증한 문화재미술품을 전시할 이건희 미술관 유치 경쟁이 뜨거운 가운데 경기 수원시에 관심이 모아지고 있다 수원시는 이건희 미술관 ,1,0
66, 은 재차 검토계획 없다는데정치권서 왜 이재용 사면 갑론을박,이재용 삼성전자 부회장 사진연합뉴스 사면결정권을 가진 청와대가 이미 두 차례나 사면계획이 없다고 밝혔음에도 정치권을 중심으로 이재용 사면 갑론을박이 벌어지고 있다 종교계 등 외부에서 시작된 이재용 ,0,1
67, 삼성전자 차세대 반도체 패키지 기술 개발, 삼성전자 가 로직 칩과 개의 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 밝혔다 고대역폭 데이터 전송과 고성능 시스템 반도체를 요구하는 ,0,0
68,김부겸 이재용 사면 관련 경제계 인식 정리해서 대통령께 전달 ,김부겸 국무총리 후보자는 이재용 삼성전자 부회장 사면론과 관련해 취임한다면 경제계 분들이 가진 상황 인식을 잘 정리해서 대통령께 전달드리겠다 고 밝혔습니다 김 후보자는 오늘 국회 인사청문회에서 앞으로 미래 ,0,1
69,의령군민사회단체총연합 이재용 삼성 부회장 특별 사면해야,코로나 에 따른 불안한 경제 상황 속에서 발빠른 투자와 함께 경기회복을 위해서는 이재용 삼성전자 부회장을 특별 사면해야 한다는 목소리가 이어지고 있다 의령군의 정곡면은 오늘날의 대한민국을 있게 한 삼성 창업주 ,0,0
70,글로벌파운드리 삼성 제치고 세계 최초 상용 양자컴퓨터 팹 구축,파운드리반도체 위탁생산 시장 위 기업인 대만 와 한국 삼성전자 보다 먼저다 전 세계 파운드리 업계가 나노 등 초소형 공정을 통해 컴퓨팅 성능을 조금씩 높이고 있는 가운데 는 이론적으로 배 ,0,1
71, 화웨이 인도 사업 진출 빨간불시범사업 참여 배제,통신부는 성명에서 시범사업에는 바라티 에어텔릴라이언스지오 등 자국 통신업체가 참여하며 삼성전자 에릭슨노키아 등 통신장비 제조업체와 협력할 것이라고 밝혔다 이번 시범사업은 약 개월간 진행될 ,0,0
72,김부겸 총리 후보 이재용 부회장 사면 논란 대통령께 전달하겠다 ,김부겸 총리 후보자는 일 국회 인사청문회에서 이재용 삼성전자 부회장 사면론과 관련 의견을 정리해 문재인 대통령에게 전달하겠다고 밝혔다 사진연합뉴스 이재용 삼성전자 부회장의 사면을 둘러싼 찬반 논란에 ,0,0
73, 폰 특허 산 특허괴물 삼성전자 에 소송, 전자 스마트폰의 특허를 사들인 글로벌 특허전문기업이 최근 삼성전자 를 상대로 특허침해 소송을 제기했다 전자 의 스마트폰 사업 철수 후 관련 특허가 풀리면 국내 산업 생태계에 미치는 영향이 클 것이라는 ,0,1
74,자작나무로 맺어진 인연이 미술품으로이건희 컬렉션 첫 공개,고 이건희 삼성전자 회장의 유족이 기증한 미술품이 속속 베일을 벗고 있다 강원 양구군립 박수근미술관은 일부터 이건희 컬렉션 점을 전국 최초로 선보인다 대구미술관도 기증 받은 지역 근대 화가들의 작품 ,0,1
75, 삼성전자 반도체 패키지 기술 개발,사진 삼성전자 삼성전자 가 로직 칩과 개의 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 일 밝혔다 는 고대역폭 데이터 ,0,0
76,로직 개 원칩화 삼성 단일 패키지 기술 개발, 삼성전자 가 로직과 개의 을 하나의 패키지로 구현한 독자 구조의 패키지 기술 을 개발했다고 일 밝혔다 는 고대역폭 데이터 전송과 고성능 시스템반도체를 요구하는 ,0,0
77,개인기관 매수에코스피 강보합세,이어 하이닉스 삼성 카카오 삼성전자 현대차 순이었다 삼성 바이오로직스 화학 은 올랐다 같은 시간 기준 코스닥은 전 거래일 ,0,0
78,김부겸 이재용 사면론 경제계 인식 정리해 대통령에게 전달할 것 ,김부겸 국무총리 후보자가 국회 인사청문회 자리에서 이명박박근혜 전 대통령 및 이재용 삼성전자 부회장 사면과 관련해 입장을 내놨다 김부겸 후보자는 일 오전 국회에서 열린 인사청문회에서 김윤덕 의원 ,0,0
79,코지마 차세대 플래그십 안마의자 레전드 시그니처 출시,레전드 시그니처는 기본 제공되는 인치 삼성전자 갤럭시 태블릿으로 안마의자 제어뿐 아니라 마사지를 받으면서 각종 앱과 모바일 콘텐츠도 동시에 즐길 수 있다 또 하단 마사지부와 다리부에 끼임 사고를 방지하기 ,1,1
80,김부겸 이재용 사면 경제계 인식 정리해 대통령께 전달 ,김부겸 국무총리 후보자 사진 출처 연합뉴스 김부겸 국무총리 후보자가 일 이재용 삼성전자 부회장 사면론과 관련해 재계가 갖고 있는 상황 인식 문제를 잘 정리해 대통령께 전달하겠다 고 밝혔다 김 후보자는 이날 ,0,0
81,김부겸 이재용 사면론에 경제계 인식 문 대통령에 전달할 것 입장,김부겸 국무총리 후보자가 재계에서 제기된 이재용 삼성전자 부회장 사면론에 대해 경제계의 상황 인식을 정리해 문재인 대통령에 전달하겠다는 입장을 보였다 김부겸 국무총리 후보자는 월 일 국회에서 열린 ,0,0
82, 삼성 피해자 단체 이재용 부회장 사면 반대 ,이날 이들 단체는 오늘 일이 이재용 삼성전자 부회장이 대국민 사과를 한 지 년이 되는 날 며 그런데 삼성 은 아직까지 피해자 문제를 해결하지 않고 있다 고 지적했다 기자회견 자료를 통해 경총 등 재계 종교계 ,0,1
83,대구가 낳은 이건희이건희 미술관 대구 품에 안길까,수원시에는 삼성전자 본사와 이 회장의 묘소가 있다 김승원 더불어민주당수원 갑 의원은 최근 수원시에 이건희 미술관 유치에 나서달라고 요청했다 이 밖에 이건희 컬렉션을 기증받은 광주시 대전시 등도 미술관 ,1,1
84,프로젝트 아이디어 정리한 것 이재용 재판에서 증언, 삼성 그룹 불법합병 및 회계부정 혐의로 기소된 이재용 삼성전자 부회장 재판에서 전직 삼성 증권 팀장이 프로젝트 는 삼성 그룹 지배구조를 어떻게 개선할 수 있을지 전체적인 아이디어를 모아 정리한 것이라고 ,0,0
85,프로젝트 문건 작성자 삼성 그룹 지배구조 강화 검토한 것 ,이재용 삼성전자 부회장의 경영권 승계 계획안을 담은 것으로 알려진 프로젝트 문건 작성자가 그룹 지배구조 강화 차원의 큰 틀에서 가능한 시나리오를 검토한 것 이라고 법정 증언했다 서울중앙지법 형사합의 ,0,0
86,뚝딱 인테리어 쇼핑플랫폼 신규가입 쿠폰 이벤트 진행,뚝딱 관계자는 이번 최단기간 만개 상품 등록 기념으로 이번 이벤트를 준비했다 며 이번 행사에서는 삼성전자 갤럭시 핏 쿠쿠 전기압력밥솥 동서가구 리클라이너 더함 프리미엄 등 다양한 상품을 ,0,0
87, 삼성전자 하이닉스 램 담합 혐의로 집단소송,국내 반도체 대표기업인 삼성전자 와 하이닉스가 미국에서 가격 담합 혐의로 소송을 당했다 일 관련업계에 따르면 미국 현지 로펌인 하겐스 버만은 지난 일현지시간 삼성전자 하이닉스 미국 마이크론을 ,0,0
88, 삼성전자 차세대 반도체 패키지 기술 개발 독자적 구조 적용, 삼성전자 가 로직 칩과 개의 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다 는 고대역폭 데이터 전송과 고성능 시스템 반도체를 ,0,0
89, 삼성 디스플레이 노트북 다크 모드로 소비 전력 절감, 삼성전자 는 지난 일 윈도우 설정에서 다크 모드를 기본 적용한 노트북 신제품 갤럭시 북 프로과 갤럭시 북 프로 을 공개한 바 있다 백지호 중소형 전략마케팅실장부사장은 스마트폰 노트북 등 모바일 ,0,0
